job_id,job_title,role_type,salary_min,salary_max,salary_avg,salary_range,rating,company_name,city,state,industry,sector,company_size,revenue,founded,type_of_ownership,easy_apply,has_sql,has_python,has_excel,has_tableau,has_powerbi,seniority
1625,"Business Analyst – Behavioral Healthcare Billing","Business Analyst",40000,77000,58500,37000,2.9,"Streamline Healthcare 2.9",Chicago,IL,"IT Services","Information Technology","51 to 200 employees","$10 to $25 million (USD)",2003,"Company - Private",-1,0,0,1,0,0,Mid-Level
1626,"Business Analyst","Business Analyst",40000,77000,58500,37000,NULL,"Cynergies Solutions Group",Chicago,IL,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,Mid-Level
1627,"Business Analyst","Business Analyst",40000,77000,58500,37000,4.0,"Lorven Technologies Inc 4.0",Chicago,IL,Accounting,"Accounting & Legal","1 to 50 employees","Less than $1 million (USD)",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
1628,"Sales Operations Analyst","Business Analyst",40000,77000,58500,37000,4.0,"Morningstar 4.0",Chicago,IL,"Financial Analytics & Research",Finance,"5001 to 10000 employees","$1 to $2 billion (USD)",1984,"Company - Public",-1,0,0,1,0,0,Mid-Level
1629,"Business Intelligence Analyst I and II - Pharma Analytics (Remote - Chicago based)","Business Analyst",69000,97000,83000,28000,NULL,"Precision Value & Health",Chicago,IL,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","501 to 1000 employees","Unknown / Non-Applicable",2012,"Company - Private",-1,1,0,1,0,0,Mid-Level
1630,"Business Technical Analyst","Business Analyst",69000,97000,83000,28000,4.5,"Abacus Technical Services 4.5",Chicago,IL,"Staffing & Outsourcing","Business Services","51 to 200 employees","$5 to $10 million (USD)",-1,"Company - Private",-1,0,0,1,0,0,Mid-Level
1631,"Business Analyst","Business Analyst",69000,97000,83000,28000,3.7,"Champs Sports 3.7",Chicago,IL,"Department, Clothing, & Shoe Stores",Retail,"5001 to 10000 employees","Unknown / Non-Applicable",1984,"Subsidiary or Business Segment",-1,0,0,1,0,0,Mid-Level
1632,"Social Media Analyst","Business Analyst",69000,97000,83000,28000,4.1,"Scotts Miracle-Gro 4.1",Chicago,IL,"Consumer Products Manufacturing",Manufacturing,"5001 to 10000 employees","$5 to $10 billion (USD)",1868,"Company - Public",-1,0,0,0,0,0,Mid-Level
1633,"Business Analysis","Business Analyst",69000,97000,83000,28000,3.1,"MMC Group 3.1","Oak Brook",IL,Consulting,"Business Services","501 to 1000 employees","$50 to $100 million (USD)",1993,"Company - Private",-1,0,0,0,0,0,Mid-Level
1634,"Business Analyst","Business Analyst",69000,97000,83000,28000,4.1,"Kforce 4.1",Chicago,IL,"Staffing & Outsourcing","Business Services","10000+ employees","$1 to $2 billion (USD)",1966,"Company - Public",-1,1,0,1,1,0,Mid-Level
